theta,A2,a,b,z,E3,E4,machine_type,status,file_name
30.0,-10.0,8.2,6.1,-1.0,-7.253381814691238,-7.253381814691238,3,Done,BTBT_theta=30_A2=-10_a=8.2_b=6.1_z=-1.0_3.log
30.0,-10.0,8.3,6.1,-0.8,-7.18197745224461,-7.18197745224461,3,Done,BTBT_theta=30_A2=-10_a=8.3_b=6.1_z=-0.8_3.log
30.0,-10.0,8.3,6.1,-0.6,-7.1448476852383465,-7.1448476852383465,3,Done,BTBT_theta=30_A2=-10_a=8.3_b=6.1_z=-0.6_3.log
30.0,-10.0,8.3,6.0,-0.4,-7.086608482175507,-7.086608482175507,3,Done,BTBT_theta=30_A2=-10_a=8.3_b=6.0_z=-0.4_3.log
30.0,-10.0,8.4,5.9,-0.2,-7.030640865210444,-7.030640865210444,3,Done,BTBT_theta=30_A2=-10_a=8.4_b=5.9_z=-0.2_3.log
30.0,-10.0,8.4,5.8,0.0,-6.999459893326275,-6.999459893326275,3,Done,BTBT_theta=30_A2=-10_a=8.4_b=5.8_z=0.0_3.log
30.0,-10.0,8.4,5.7,0.2,-6.965229222667404,-6.965229222667404,3,Done,BTBT_theta=30_A2=-10_a=8.4_b=5.7_z=0.2_3.log
30.0,-10.0,8.3,5.8,0.4,-7.0829187233466655,-7.0829187233466655,3,Done,BTBT_theta=30_A2=-10_a=8.3_b=5.8_z=0.4_3.log
30.0,-10.0,8.2,6.0,0.6,-7.232385330367833,-7.232385330367833,3,Done,BTBT_theta=30_A2=-10_a=8.2_b=6.0_z=0.6_3.log
30.0,-10.0,8.1,6.1,0.8,-7.260522878845222,-7.260522878845222,3,Done,BTBT_theta=30_A2=-10_a=8.1_b=6.1_z=0.8_3.log
30.0,-10.0,8.1,6.1,1.0,-7.210177751374431,-7.210177751374431,3,Done,BTBT_theta=30_A2=-10_a=8.1_b=6.1_z=1.0_3.log
30.0,-8.0,8.1,6.1,-1.0,-7.287486983463168,-7.287486983463168,3,Done,BTBT_theta=30_A2=-8_a=8.1_b=6.1_z=-1.0_3.log
30.0,-8.0,8.2,6.1,-0.8,-7.26688583008945,-7.26688583008945,3,Done,BTBT_theta=30_A2=-8_a=8.2_b=6.1_z=-0.8_3.log
30.0,-8.0,8.2,6.0,-0.6,-7.238949084770866,-7.238949084770866,3,Done,BTBT_theta=30_A2=-8_a=8.2_b=6.0_z=-0.6_3.log
30.0,-8.0,8.3,5.9,-0.4,-7.199547732132487,-7.199547732132487,3,Done,BTBT_theta=30_A2=-8_a=8.3_b=5.9_z=-0.4_3.log
30.0,-8.0,8.3,5.8,-0.2,-7.1758153036935255,-7.1758153036935255,3,Done,BTBT_theta=30_A2=-8_a=8.3_b=5.8_z=-0.2_3.log
30.0,-8.0,8.3,5.7,0.0,-7.134016862721182,-7.134016862721182,3,Done,BTBT_theta=30_A2=-8_a=8.3_b=5.7_z=0.0_3.log
30.0,-8.0,8.3,5.8,0.2,-7.246259576291777,-7.246259576291777,3,Done,BTBT_theta=30_A2=-8_a=8.3_b=5.8_z=0.2_3.log
30.0,-8.0,8.2,5.9,0.4,-7.341490493854508,-7.341490493854508,3,Done,BTBT_theta=30_A2=-8_a=8.2_b=5.9_z=0.4_3.log
30.0,-8.0,8.0,6.1,0.6,-7.434481200645678,-7.434481200645678,3,Done,BTBT_theta=30_A2=-8_a=8.0_b=6.1_z=0.6_3.log
30.0,-8.0,8.0,6.1,0.8,-7.392450581188314,-7.392450581188314,3,Done,BTBT_theta=30_A2=-8_a=8.0_b=6.1_z=0.8_3.log
30.0,-8.0,8.0,6.2,1.0,-7.370688534341752,-7.370688534341752,3,Done,BTBT_theta=30_A2=-8_a=8.0_b=6.2_z=1.0_3.log
30.0,-6.0,8.1,6.1,-1.0,-7.274378299480304,-7.274378299480304,3,Done,BTBT_theta=30_A2=-6_a=8.1_b=6.1_z=-1.0_3.log
30.0,-6.0,8.1,6.1,-0.8,-7.315844160388224,-7.315844160388224,3,Done,BTBT_theta=30_A2=-6_a=8.1_b=6.1_z=-0.8_3.log
30.0,-6.0,8.1,6.0,-0.6,-7.327528396388516,-7.327528396388516,3,Done,BTBT_theta=30_A2=-6_a=8.1_b=6.0_z=-0.6_3.log
30.0,-6.0,8.2,5.9,-0.4,-7.32991293433588,-7.32991293433588,3,Done,BTBT_theta=30_A2=-6_a=8.2_b=5.9_z=-0.4_3.log
30.0,-6.0,8.2,5.8,-0.2,-7.319220164208673,-7.319220164208673,3,Done,BTBT_theta=30_A2=-6_a=8.2_b=5.8_z=-0.2_3.log
30.0,-6.0,8.3,5.7,0.0,-7.262882316368632,-7.262882316368632,3,Done,BTBT_theta=30_A2=-6_a=8.3_b=5.7_z=0.0_3.log
30.0,-6.0,8.2,5.8,0.2,-7.371341144666076,-7.371341144666076,3,Done,BTBT_theta=30_A2=-6_a=8.2_b=5.8_z=0.2_3.log
30.0,-6.0,8.0,6.0,0.4,-7.494364480255172,-7.494364480255172,3,Done,BTBT_theta=30_A2=-6_a=8.0_b=6.0_z=0.4_3.log
30.0,-6.0,8.0,6.1,0.6,-7.518209860078059,-7.518209860078059,3,Done,BTBT_theta=30_A2=-6_a=8.0_b=6.1_z=0.6_3.log
30.0,-6.0,7.9,6.2,0.8,-7.495493998052552,-7.495493998052552,3,Done,BTBT_theta=30_A2=-6_a=7.9_b=6.2_z=0.8_3.log
30.0,-6.0,7.9,6.2,1.0,-7.435930748935789,-7.435930748935789,3,Done,BTBT_theta=30_A2=-6_a=7.9_b=6.2_z=1.0_3.log
30.0,-4.0,8.1,6.0,-1.0,-7.182397883851081,-7.182397883851081,3,Done,BTBT_theta=30_A2=-4_a=8.1_b=6.0_z=-1.0_3.log
30.0,-4.0,8.1,6.0,-0.8,-7.2680404484272,-7.2680404484272,3,Done,BTBT_theta=30_A2=-4_a=8.1_b=6.0_z=-0.8_3.log
30.0,-4.0,8.1,5.9,-0.6,-7.305301992222667,-7.305301992222667,3,Done,BTBT_theta=30_A2=-4_a=8.1_b=5.9_z=-0.6_3.log
30.0,-4.0,8.2,5.8,-0.4,-7.321316047571599,-7.321316047571599,3,Done,BTBT_theta=30_A2=-4_a=8.2_b=5.8_z=-0.4_3.log
30.0,-4.0,8.2,5.7,-0.2,-7.296378799946979,-7.296378799946979,3,Done,BTBT_theta=30_A2=-4_a=8.2_b=5.7_z=-0.2_3.log
30.0,-4.0,8.2,5.8,0.0,-7.405414937762544,-7.405414937762544,3,Done,BTBT_theta=30_A2=-4_a=8.2_b=5.8_z=0.0_3.log
30.0,-4.0,8.1,5.9,0.2,-7.4841925433138385,-7.4841925433138385,3,Done,BTBT_theta=30_A2=-4_a=8.1_b=5.9_z=0.2_3.log
30.0,-4.0,8.0,6.1,0.4,-7.575407396769151,-7.575407396769151,3,Done,BTBT_theta=30_A2=-4_a=8.0_b=6.1_z=0.4_3.log
30.0,-4.0,7.9,6.2,0.6,-7.565768843167461,-7.565768843167461,3,Done,BTBT_theta=30_A2=-4_a=7.9_b=6.2_z=0.6_3.log
30.0,-4.0,7.9,6.2,0.8,-7.513741988921538,-7.513741988921538,3,Done,BTBT_theta=30_A2=-4_a=7.9_b=6.2_z=0.8_3.log
30.0,-4.0,7.9,6.2,1.0,-7.476731449365616,-7.476731449365616,3,Done,BTBT_theta=30_A2=-4_a=7.9_b=6.2_z=1.0_3.log
30.0,-2.0,8.1,6.0,-1.0,-7.10179422411602,-7.10179422411602,3,Done,BTBT_theta=30_A2=-2_a=8.1_b=6.0_z=-1.0_3.log
30.0,-2.0,8.1,6.0,-0.8,-7.225413694046438,-7.225413694046438,3,Done,BTBT_theta=30_A2=-2_a=8.1_b=6.0_z=-0.8_3.log
30.0,-2.0,8.1,5.9,-0.6,-7.289997023413889,-7.289997023413889,3,Done,BTBT_theta=30_A2=-2_a=8.1_b=5.9_z=-0.6_3.log
30.0,-2.0,8.2,5.8,-0.4,-7.31253718258813,-7.31253718258813,3,Done,BTBT_theta=30_A2=-2_a=8.2_b=5.8_z=-0.4_3.log
30.0,-2.0,8.2,5.7,-0.2,-7.280546722817235,-7.280546722817235,3,Done,BTBT_theta=30_A2=-2_a=8.2_b=5.7_z=-0.2_3.log
30.0,-2.0,8.2,5.8,0.0,-7.3766875298460945,-7.3766875298460945,3,Done,BTBT_theta=30_A2=-2_a=8.2_b=5.8_z=0.0_3.log
30.0,-2.0,8.0,6.0,0.2,-7.509060764336027,-7.509060764336027,3,Done,BTBT_theta=30_A2=-2_a=8.0_b=6.0_z=0.2_3.log
30.0,-2.0,7.9,6.2,0.4,-7.57538857171312,-7.57538857171312,3,Done,BTBT_theta=30_A2=-2_a=7.9_b=6.2_z=0.4_3.log
30.0,-2.0,7.9,6.2,0.6,-7.52200629573781,-7.52200629573781,3,Done,BTBT_theta=30_A2=-2_a=7.9_b=6.2_z=0.6_3.log
30.0,-2.0,7.9,6.3,0.8,-7.539187519229017,-7.539187519229017,3,Done,BTBT_theta=30_A2=-2_a=7.9_b=6.3_z=0.8_3.log
30.0,-2.0,7.9,6.2,1.0,-7.480829089414328,-7.480829089414328,3,Done,BTBT_theta=30_A2=-2_a=7.9_b=6.2_z=1.0_3.log
30.0,0.0,8.1,6.0,-1.0,-6.991019884007983,-6.991019884007983,3,Done,BTBT_theta=30_A2=0_a=8.1_b=6.0_z=-1.0_3.log
30.0,0.0,8.2,5.9,-0.8,-7.085717417881824,-7.085717417881824,3,Done,BTBT_theta=30_A2=0_a=8.2_b=5.9_z=-0.8_3.log
30.0,0.0,8.2,5.8,-0.6,-7.149805014254525,-7.149805014254525,3,Done,BTBT_theta=30_A2=0_a=8.2_b=5.8_z=-0.6_3.log
30.0,0.0,8.3,5.7,-0.4,-7.151047484134324,-7.151047484134324,3,Done,BTBT_theta=30_A2=0_a=8.3_b=5.7_z=-0.4_3.log
30.0,0.0,8.2,5.8,-0.2,-7.292268609628081,-7.292268609628081,3,Done,BTBT_theta=30_A2=0_a=8.2_b=5.8_z=-0.2_3.log
30.0,0.0,8.1,5.9,0.0,-7.376267098123208,-7.376267098123208,3,Done,BTBT_theta=30_A2=0_a=8.1_b=5.9_z=0.0_3.log
30.0,0.0,8.0,6.1,0.2,-7.483182251919061,-7.483182251919061,3,Done,BTBT_theta=30_A2=0_a=8.0_b=6.1_z=0.2_3.log
30.0,0.0,7.9,6.2,0.4,-7.477396609843709,-7.477396609843709,3,Done,BTBT_theta=30_A2=0_a=7.9_b=6.2_z=0.4_3.log
30.0,0.0,7.9,6.3,0.6,-7.504448565887287,-7.504448565887287,3,Done,BTBT_theta=30_A2=0_a=7.9_b=6.3_z=0.6_3.log
30.0,0.0,7.9,6.3,0.8,-7.49561950028874,-7.49561950028874,3,Done,BTBT_theta=30_A2=0_a=7.9_b=6.3_z=0.8_3.log
30.0,0.0,8.0,6.2,1.0,-7.468122011981904,-7.468122011981904,3,Done,BTBT_theta=30_A2=0_a=8.0_b=6.2_z=1.0_3.log
30.0,2.0,8.2,5.9,-1.0,-6.806801773258485,-6.806801773258485,3,Done,BTBT_theta=30_A2=2_a=8.2_b=5.9_z=-1.0_3.log
30.0,2.0,8.3,5.8,-0.8,-6.903526164707728,-6.903526164707728,3,Done,BTBT_theta=30_A2=2_a=8.3_b=5.8_z=-0.8_3.log
30.0,2.0,8.3,5.8,-0.6,-7.030753817176446,-7.030753817176446,3,Done,BTBT_theta=30_A2=2_a=8.3_b=5.8_z=-0.6_3.log
30.0,2.0,8.3,5.7,-0.4,-7.035880573559552,-7.035880573559552,3,Done,BTBT_theta=30_A2=2_a=8.3_b=5.7_z=-0.4_3.log
30.0,2.0,8.3,5.8,-0.2,-7.159085887135007,-7.159085887135007,3,Done,BTBT_theta=30_A2=2_a=8.3_b=5.8_z=-0.2_3.log
30.0,2.0,8.1,6.0,0.0,-7.321861981181428,-7.321861981181428,3,Done,BTBT_theta=30_A2=2_a=8.1_b=6.0_z=0.0_3.log
30.0,2.0,8.0,6.2,0.2,-7.419446061132476,-7.419446061132476,3,Done,BTBT_theta=30_A2=2_a=8.0_b=6.2_z=0.2_3.log
30.0,2.0,7.9,6.3,0.4,-7.421190539142117,-7.421190539142117,3,Done,BTBT_theta=30_A2=2_a=7.9_b=6.3_z=0.4_3.log
30.0,2.0,8.0,6.3,0.6,-7.428651632857509,-7.428651632857509,3,Done,BTBT_theta=30_A2=2_a=8.0_b=6.3_z=0.6_3.log
30.0,2.0,8.0,6.3,0.8,-7.4393757787765935,-7.4393757787765935,3,Done,BTBT_theta=30_A2=2_a=8.0_b=6.3_z=0.8_3.log
30.0,2.0,8.0,6.2,1.0,-7.415611975011416,-7.415611975011416,3,Done,BTBT_theta=30_A2=2_a=8.0_b=6.2_z=1.0_3.log
30.0,4.0,8.3,5.9,-1.0,-6.661865788628347,-6.661865788628347,3,Done,BTBT_theta=30_A2=4_a=8.3_b=5.9_z=-1.0_3.log
30.0,4.0,8.4,5.8,-0.8,-6.754806294688024,-6.754806294688024,3,Done,BTBT_theta=30_A2=4_a=8.4_b=5.8_z=-0.8_3.log
30.0,4.0,8.4,5.7,-0.6,-6.802227225387469,-6.802227225387469,3,Done,BTBT_theta=30_A2=4_a=8.4_b=5.7_z=-0.6_3.log
30.0,4.0,8.4,5.7,-0.4,-6.88295638654381,-6.88295638654381,3,Done,BTBT_theta=30_A2=4_a=8.4_b=5.7_z=-0.4_3.log
30.0,4.0,8.3,5.9,-0.2,-7.095757578033954,-7.095757578033954,3,Done,BTBT_theta=30_A2=4_a=8.3_b=5.9_z=-0.2_3.log
30.0,4.0,8.2,6.0,0.0,-7.179009329644032,-7.179009329644032,3,Done,BTBT_theta=30_A2=4_a=8.2_b=6.0_z=0.0_3.log
30.0,4.0,8.1,6.2,0.2,-7.291986230295151,-7.291986230295151,3,Done,BTBT_theta=30_A2=4_a=8.1_b=6.2_z=0.2_3.log
30.0,4.0,8.0,6.3,0.4,-7.321686278562993,-7.321686278562993,3,Done,BTBT_theta=30_A2=4_a=8.0_b=6.3_z=0.4_3.log
30.0,4.0,8.0,6.3,0.6,-7.325984721886925,-7.325984721886925,3,Done,BTBT_theta=30_A2=4_a=8.0_b=6.3_z=0.6_3.log
30.0,4.0,8.1,6.3,0.8,-7.353839890798554,-7.353839890798554,3,Done,BTBT_theta=30_A2=4_a=8.1_b=6.3_z=0.8_3.log
30.0,4.0,8.1,6.2,1.0,-7.335704851779155,-7.335704851779155,3,Done,BTBT_theta=30_A2=4_a=8.1_b=6.2_z=1.0_3.log
30.0,6.0,8.5,5.8,-1.0,-6.439821375184692,-6.439821375184692,3,Done,BTBT_theta=30_A2=6_a=8.5_b=5.8_z=-1.0_3.log
30.0,6.0,8.6,5.7,-0.8,-6.506130356923677,-6.506130356923677,3,Done,BTBT_theta=30_A2=6_a=8.6_b=5.7_z=-0.8_3.log
30.0,6.0,8.6,5.7,-0.6,-6.616559566464275,-6.616559566464275,3,Done,BTBT_theta=30_A2=6_a=8.6_b=5.7_z=-0.6_3.log
30.0,6.0,8.5,5.7,-0.4,-6.714105996186845,-6.714105996186845,3,Done,BTBT_theta=30_A2=6_a=8.5_b=5.7_z=-0.4_3.log
30.0,6.0,8.4,5.9,-0.2,-6.933301514131017,-6.933301514131017,3,Done,BTBT_theta=30_A2=6_a=8.4_b=5.9_z=-0.2_3.log
30.0,6.0,8.2,6.2,0.0,-7.154580365284346,-7.154580365284346,3,Done,BTBT_theta=30_A2=6_a=8.2_b=6.2_z=0.0_3.log
30.0,6.0,8.1,6.3,0.2,-7.204461135435849,-7.204461135435849,3,Done,BTBT_theta=30_A2=6_a=8.1_b=6.3_z=0.2_3.log
30.0,6.0,8.1,6.3,0.4,-7.20813834387809,-7.20813834387809,3,Done,BTBT_theta=30_A2=6_a=8.1_b=6.3_z=0.4_3.log
30.0,6.0,8.1,6.4,0.6,-7.272985227406025,-7.272985227406025,3,Done,BTBT_theta=30_A2=6_a=8.1_b=6.4_z=0.6_3.log
30.0,6.0,8.2,6.3,0.8,-7.24213683581911,-7.24213683581911,3,Done,BTBT_theta=30_A2=6_a=8.2_b=6.3_z=0.8_3.log
30.0,6.0,8.3,6.2,1.0,-7.193881316692568,-7.193881316692568,3,Done,BTBT_theta=30_A2=6_a=8.3_b=6.2_z=1.0_3.log
30.0,8.0,8.7,5.7,-1.0,-6.196931079262868,-6.196931079262868,3,Done,BTBT_theta=30_A2=8_a=8.7_b=5.7_z=-1.0_3.log
30.0,8.0,8.7,5.7,-0.8,-6.332159484503791,-6.332159484503791,3,Done,BTBT_theta=30_A2=8_a=8.7_b=5.7_z=-0.8_3.log
30.0,8.0,8.7,5.7,-0.6,-6.4453560130205005,-6.4453560130205005,3,Done,BTBT_theta=30_A2=8_a=8.7_b=5.7_z=-0.6_3.log
30.0,8.0,8.6,5.8,-0.4,-6.625978491734713,-6.625978491734713,3,Done,BTBT_theta=30_A2=8_a=8.6_b=5.8_z=-0.4_3.log
30.0,8.0,8.5,6.0,-0.2,-6.835604482330382,-6.835604482330382,3,Done,BTBT_theta=30_A2=8_a=8.5_b=6.0_z=-0.2_3.log
30.0,8.0,8.3,6.2,0.0,-7.00653820601292,-7.00653820601292,3,Done,BTBT_theta=30_A2=8_a=8.3_b=6.2_z=0.0_3.log
30.0,8.0,8.2,6.3,0.2,-7.068542469292879,-7.068542469292879,3,Done,BTBT_theta=30_A2=8_a=8.2_b=6.3_z=0.2_3.log
30.0,8.0,8.2,6.4,0.4,-7.131833127699792,-7.131833127699792,3,Done,BTBT_theta=30_A2=8_a=8.2_b=6.4_z=0.4_3.log
30.0,8.0,8.3,6.3,0.6,-7.094006825005636,-7.094006825005636,3,Done,BTBT_theta=30_A2=8_a=8.3_b=6.3_z=0.6_3.log
30.0,8.0,8.3,6.3,0.8,-7.104046985157765,-7.104046985157765,3,Done,BTBT_theta=30_A2=8_a=8.3_b=6.3_z=0.8_3.log
30.0,8.0,8.4,6.2,1.0,-7.046353715821169,-7.046353715821169,3,Done,BTBT_theta=30_A2=8_a=8.4_b=6.2_z=1.0_3.log
30.0,10.0,8.9,5.7,-1.0,-5.9991336521925405,-5.9991336521925405,3,Done,BTBT_theta=30_A2=10_a=8.9_b=5.7_z=-1.0_3.log
30.0,10.0,8.9,5.6,-0.8,-6.071046298020519,-6.071046298020519,3,Done,BTBT_theta=30_A2=10_a=8.9_b=5.6_z=-0.8_3.log
30.0,10.0,8.9,5.7,-0.6,-6.243580172420479,-6.243580172420479,3,Done,BTBT_theta=30_A2=10_a=8.9_b=5.7_z=-0.6_3.log
30.0,10.0,8.7,5.9,-0.4,-6.5274845220847055,-6.5274845220847055,3,Done,BTBT_theta=30_A2=10_a=8.7_b=5.9_z=-0.4_3.log
30.0,10.0,8.5,6.1,-0.2,-6.754009356838651,-6.754009356838651,3,Done,BTBT_theta=30_A2=10_a=8.5_b=6.1_z=-0.2_3.log
30.0,10.0,8.4,6.3,0.0,-6.9070151201449335,-6.9070151201449335,3,Done,BTBT_theta=30_A2=10_a=8.4_b=6.3_z=0.0_3.log
30.0,10.0,8.3,6.4,0.2,-6.976204372942448,-6.976204372942448,3,Done,BTBT_theta=30_A2=10_a=8.3_b=6.4_z=0.2_3.log
30.0,10.0,8.3,6.4,0.4,-6.986690065125004,-6.986690065125004,3,Done,BTBT_theta=30_A2=10_a=8.3_b=6.4_z=0.4_3.log
30.0,10.0,8.4,6.3,0.6,-6.941804274683818,-6.941804274683818,3,Done,BTBT_theta=30_A2=10_a=8.4_b=6.3_z=0.6_3.log
30.0,10.0,8.5,6.2,0.8,-6.879699609708041,-6.879699609708041,3,Done,BTBT_theta=30_A2=10_a=8.5_b=6.2_z=0.8_3.log
